"Ticket";"Tipo de ticket";"Cliente";"Unidade de Negócio";"Contato";"Categoria";"Técnico";"Data de criação";"Data de finalização";"Situação";"Setor do Solicitante";"Mesa de trabalho";"Avaliação";"Descrição"
2164;"Implantação";"AQUARELA SABOR E ARTE";"AQUARELA SABOR E ARTE";"Leonardo (Aquarela Sabor e Arte)";"Treinamento";"Emanuel Aguiar";"29/12/2023 00:00";"02/01/2024 16:45";"Finalizado";"Administrativo";"Implantação";;"Treinamento Financeiro, Estoque e Manufatura"
2109;"Finalizado e solucionado com sucesso";"BOLARIA RAFAELA FONTES";"---";"Margarida  - Bolaria Rafaela Fontes Coophab";"Movimentação - duvidas";"Guilherme Lima";"31/12/2023 19:34";"31/12/2023 19:35";"Finalizado";"Frente de loja";"Suporte Técnico";;"Duvidas sobre relatório, informei que o valor esta correto pois uma venda foi estornada assim deixando o relatório batendo com o valor real"
2108;"Bug";"NOELIA DOCES E SALGADOS - UNIDADE SUL";"---";"Noélia,Cristina (Noélia Sul)";"Ipos Desktop (PDV) - problema";"Guilherme Lima";"31/12/2023 19:19";"31/12/2023 19:22";"Finalizado";"Frente de loja";"Suporte Técnico";;"Cliente entrou em contato informando que não conseguia finalizar uma encomenda, no histórico não consta nada referente ao finalizar, mas o cupom já foi emitido , deixarei o tickte em aberto e as imagens para Henrique verificar Cliente nao respondeu, encerrei por interação"
2107;"Finalizado e solucionado com sucesso";"PARRILEIRO ALDEOTA";"---";"Parrileiro Aldeota,Aglailton,Emilson (Parrileiro Aldeota),Estevão (Parrileiro Aldeota)";"Falta de Interação";"Guilherme Lima";"31/12/2023 19:19";"31/12/2023 19:19";"Finalizado";"Frente de loja";"Suporte Técnico";;"Este atendimento será finalizado por falta de interação."
2106;"Finalizado e solucionado com sucesso";"PANIFICADORA PACATUBA";"---";"Francimara - Panificadora Pacatuba,Paulo - panificadora pacatuba,Carolina( Panificadora Pacatuba)";"Fiscal - duvidas";"Guilherme Lima";"31/12/2023 18:14";"31/12/2023 18:15";"Finalizado";"Frente de loja";"Suporte Técnico";5;"Informei> Jeferson agendei a sua alteração para amanha pelo período da manha"
2105;"Finalizado e solucionado com sucesso";"TORTEL� SUL";"---";"Cecilia - Financeiro,Tortele sul,Ginna (Tortelê)";"Movimentação - duvidas";"Guilherme Lima";"31/12/2023 16:58";"31/12/2023 16:59";"Finalizado";"Frente de loja";"Suporte Técnico";;"Duvidas sobre na tela de DFE ao gerar nota, puxar automaticamente os valores do preço de custo, foi informada que essa opção ainda não e possível no sistema"
2104;"Finalizado e solucionado com sucesso";"Estaleiro do Gaucho";"---";"Julio,Jamila - estaleiro,jOÃO victor - estaleiro do Gaucho";"Movimentação - duvidas";"Guilherme Lima";"31/12/2023 15:05";"31/12/2023 15:08";"Finalizado";"Administrativo";"Suporte Técnico";4;"Jamila entrou em contato com dúvidas sobre o faturamento diário, informou que o relatório não batia com os valores do fechamento. No entanto, ao simular a emissão do relatório, verifiquei que os valores estavam corretos. Poderia ser que o cliente estivesse visualizando filtros incorretos. Entretanto, não houve retorno da Jamila no chat, e a conversa foi encerrada devido à falta de interação."
2103;"Finalizado e solucionado com sucesso";"REI DO BAI�O";"---";"Grupo Rei do Baião,LUIS MAURO,Beatriz - Rei do Baião,rei do baião";"Integração delivery - duvidas";"Guilherme Lima";"31/12/2023 14:46";"31/12/2023 14:46";"Finalizado";"Frente de loja";"Suporte Técnico";;"Integrador estava fechado, foi iniciado"
2102;"Finalizado e solucionado com sucesso";"TELHADO CASEIRO EUSEBIO";"---";"Telhado Caseiro Eusebio";"TEF";"Saulo Felipe";"31/12/2023 14:33";"31/12/2023 14:34";"Finalizado";"Frente de loja";"Suporte Técnico";;"SIstema Tef sem conexão com o servidor ao finalizar venda. Acessei e realizei testes pelo administrativo tef comunicando e dando carga no pinpad normalmente das tabelas do sistema tef. Sra. Regiane informou que outros lojas vizinhas estavam apresentando o mesmo problema quando a venda era no Tef. Orientada a entrar em contato com o suporte tef."
2101;"Finalizado e solucionado com sucesso";"TELHADO CASEIRO PARANGABA";"---";"Claudenir (Telhado Caseiro Parangaba/Eusebio)";"TEF / Sem conexão com servidor";"Saulo Felipe";"31/12/2023 14:22";"06/01/2024 19:42";"Finalizado";"Frente de loja";"Suporte Técnico";;"SIstema Tef sem conexão com o servidor ao finalizar venda. Acessei e realizei testes pelo administrativo tef comunicando e dando carga no pinpad normalmente das tabelas do sistema tef. Sra. Regiane informou que outros lojas vizinhas estavam apresentando o mesmo problema quando a venda era no Tef. Orientada a entrar em contato com o suporte tef."
2100;"Finalizado e solucionado com sucesso";"TELHADO CASEIRO PARANGABA";"---";"Claudenir (Telhado Caseiro Parangaba/Eusebio),Regiane - Telhado Caseiro Parangaba,Ivo Barros - Telha";"TEF";"Saulo Felipe";"31/12/2023 14:16";"";"A fazer";"Frente de loja";"Suporte Técnico";;"SIstema Tef sem conexão com o servidor ao finalizar venda. Acessei e realizei testes pelo administrativo tef comunicando e dando carga no pinpad normalmente das tabelas do sistema tef. Sra. Regiane informou que outros lojas vizinhas estavam apresentando o mesmo problema quando a venda era no Tef. Orientada a entrar em contato com o suporte tef."
2099;"Finalizado e solucionado com sucesso";"Assis da Picanha";"---";"Edgard,Ludmila (Assis da Picanha),La Ticiane";"Infraestrutura - problema";"Saulo Felipe";"31/12/2023 14:12";"31/12/2023 14:15";"Finalizado";"Frente de loja";"Suporte Técnico";;"Ativação do MFE para computador reserva. Feita a ativação e associação com sucesso e realizado vendas teste e vendas de clientes gerando o cupom fiscal normalmente. Sr. Edgard ciente. OBS: as vendas testes foram estornadas com sucesso."
2098;"Finalizado e solucionado com sucesso";"BOLARIA RAFAELA FONTES - SATELITE";"---";"Bolaria Rafaela Fontes - Satelite";"Ipos Mobile - duvidas";"Saulo Felipe";"31/12/2023 14:08";"31/12/2023 14:10";"Finalizado";"Frente de loja";"Suporte Técnico";;"Não estava conseguindo abrir o PDV - ícone deletado da área de trabalho. Acessei e coloque o ícone do Ipos PDV na área de trabalho conseguindo abrir o sistema normalmente."
2097;"Finalizado e solucionado com sucesso";"Dan Cookies - Shopping Benfica";"---";"Fabio Saraiva - Dan cookies,Dan Coockies - Shopping Benfica";"API antiga / Travada";"Saulo Felipe";"31/12/2023 14:06";"31/12/2023 14:08";"Finalizado";"Frente de loja";"Suporte Técnico";;"Erro ao finalizar a venda. Acessei o computador e constatei que a API estava travada, mas após reiniciar normalizou e a caixa conseguiu finalizar as vendas normalmente."
2096;"Finalizado e solucionado com sucesso";"NATUGRAN - MESSEJANA";"---";"Eliana (Natugran Messejana)";"Movimentação - duvidas";"Saulo Felipe";"31/12/2023 14:02";"31/12/2023 14:05";"Finalizado";"Administrativo";"Suporte Técnico";5;"Orientada via print de como puxar o relatório de inventário pelo módulo movimentação. Solicitei que mostrasse ao seu contador para confirmar se o relatório informado atendia a solicitação da contabilidade, pois pelo aviso a solicitação do relatório é gerado pelo Sped Fiscal no qual ela não possui e deve contratar caso haja necessidade."
2095;"Finalizado e solucionado com sucesso";"BISCOITOS BRIEJER - QUARTIER";"---";"Andreza,TEKA,Jaqueline - Quartier,Luana - Biscoito Briejer,Sara (Briejer Quartier)";"Fiscal - problema / Parametrização regras fiscais";"Saulo Felipe";"31/12/2023 13:59";"31/12/2023 14:01";"Finalizado";"Administrativo";"Suporte Técnico";;"Erro ao enviar NFe de acobertamento de cupom, mas foi resolvido pelo setor de qualidade internamente. Erro na parametrização da operação interestadual."
2094;"Finalizado e solucionado com sucesso";"BOLARIA RAFAELA FONTES - SATELITE";"---";"Bolaria Rafaela Fontes - Satelite";"Ipos Desktop (PDV) - duvidas";"Saulo Felipe";"31/12/2023 13:37";"31/12/2023 13:39";"Finalizado";"Frente de loja";"Suporte Técnico";1;"Não conseguia abrir o sistema - ícone do PDV deletado da área de trabalho. Após colocar o ícone na área de trabalho conseguiram abrir o sistema."
2093;"Finalizado e solucionado com sucesso";"REI DO FRANGO ASSADO";"---";"Yuri - Rei do Frango Assado";"Ipos Desktop (PDV) - duvidas";"Saulo Felipe";"31/12/2023 12:34";"31/12/2023 12:36";"Finalizado";"Frente de loja";"Suporte Técnico";;"Lentidão no sistema ao finalizar a venda. Sr. Yuri informou que PDV estava com lentidão ao finalizar a venda, mas que não seria possível acessar agora devido ao grande fluxo de clientes na loja. Depois disso não respondeu mais e o atendimento foi encerrado."
