Tipo de ocorrência;Quantidade;;;
Movimentação - problema;208;;;
Ipos Desktop (PDV) - duvidas;193;;;
Administrativo - Dúvidas;193;;;
Ipos Desktop (PDV) - problema;167;;;
Movimentação - duvidas;132;;;
Fiscal - problema;115;;;
Infraestrutura - problema;108;;;
Fiscal - duvidas;82;;;
Instabilidade ERP;71;;;
Servidor;65;;;
Ipos Mobile - problema;49;;;
Integração delivery - problema;46;;;
Outros;44;;;
Financeiro;39;;;
Falta de Interação;35;;;
Integração delivery - duvidas;31;;;
Financeiro - duvidas;31;;;
Ipos Mobile - duvidas;30;;;
API antiga;27;;;
Financeiro - problema;24;;;
Treinamento;18;;;
TEF;17;;;
Sincronizador;11;;;
Estoque;8;;;
Comercial;5;;;
Web API;4;;;
App Meu Izzy Way;4;;;
Ipos Call Center;2;;;
Caixa web;2;;;
Autoatendimento;2;;;
Financeiro Melhorias;1;;;
Sem categoria;1;;;
Atualização de versão;1;;;
